,x1,x2,x3,x4,x5,y
0,3.0,2,2,71.87353865111545,77.27994181308212,0
3,1.0,1,4,90.89495327283925,131.0801255597466,0
4,1.0,2,2,91.37755200701072,78.42142573456847,1
6,2.0,3,4,87.12446337316806,82.33929759891373,1
7,2.0,2,4,77.47210510282261,87.93405407615057,3
9,2.0,2,2,71.27516063057628,91.46307215887255,2
10,2.0,2,4,77.36568539365062,103.56745978184028,2
11,2.0,1,3,83.53408121329616,138.4050581746107,0
13,2.0,2,4,75.3892575326349,90.5670816181908,2
14,2.0,3,4,83.10456850756667,75.42079009398337,1
15,3.0,3,2,64.12323874880012,42.26062091606989,3
17,1.0,2,3,98.96834953212719,139.21281026766172,1
20,2.0,2,2,79.23261512493639,88.10301725528228,0
23,2.0,1,4,79.01920046481719,139.69698160551192,0
25,2.0,1,4,68.14299173146243,129.4436354227583,0
26,2.0,3,3,82.08120103884293,78.0329505604859,1
27,3.0,1,2,64.50256604055997,102.85455690770115,2
29,2.0,2,4,73.71608522619026,83.90633614398081,2
30,2.0,2,3,85.52984413872656,114.18061627579823,1
31,2.0,2,4,86.72646462920126,107.23759737321762,0
32,2.0,1,4,71.69126570581916,130.9437148521592,0
33,3.0,2,2,67.92059745221206,66.01825077934996,3
34,1.0,1,3,94.9032464812827,138.1214564210695,0
35,1.0,2,1,98.19676304880699,79.66635949851428,1
36,2.0,2,1,84.61368417276744,71.98016646928103,0
37,2.0,2,2,84.64523863561,77.5728387210787,0
40,2.0,2,4,77.67918808523092,118.90556555175311,0
43,1.0,2,2,89.34910487687301,98.07354390593215,0
44,1.0,2,3,88.25407034859371,132.25242627354572,0
45,2.0,3,4,86.28777554700451,80.7433734555143,1
47,3.0,2,3,71.43135498757744,115.191339066921,3
48,3.0,2,3,64.36424501928111,100.82612167921091,2
50,3.0,2,4,66.13378571326757,78.06150769345321,3
51,2.0,2,4,81.13326758219496,91.11480457532123,1
52,2.0,2,3,77.2241334427268,119.0658808200493,3
57,1.0,2,2,91.49150837609837,75.58863305412218,1
59,2.0,2,3,80.29508617273716,117.73116322124798,3
60,1.0,2,2,93.98012415895417,70.47995419792548,1
62,3.0,2,3,68.50283005493895,116.11583965738704,2
63,3.0,2,2,70.4531100194978,64.66263791517582,3
64,1.0,2,3,100.77302663430578,112.80852626081936,1
66,1.0,2,3,95.61414801545645,113.53268885333704,1
69,1.0,2,4,94.97134287933201,106.22117188896058,0
